manuscript_id,matches
J1268,['F1303A']
F1767A,['J1750']
F1386C,['F1386D']
F1248A,['J1190']
F1683A,['J1646']
F226A,['F226B']
F1379A,['J1319']
J1467,['F1501A']
F321C,['J228']
F1724A,['J1686']
F1369C,['F1369B']
F628A,['F628']
F501C,['J828']
J160,['F132B']
F996A,['J1039']
J174,['F172A']
F1582A,['J1552']
F1135A,['J1110']
P90-84,['J1761', 'F397A']
J850,['F955A']
J1002,['F1002A']
J323,['F14B']
J1214,['F1184A']
F807B,['F807C']
J1200,['F1235A']
J97,['F76A']
J1667,['F1710A']
J1673,['F1722A']
F164B,['J65']
F1415A,['J1369']
F813B,['J837']
F189A,['J218']
F197B,['J225']
F1293A,['J1141']
J1677,['F1743A']
J1198,['F1199A']
J1663,['F1730A']
J1039,['F996A']
J1012,['F1021A']
F97A,['J114']
F1578A,['J1548']
F618B,['J434']
F1120C,['J989']
J158,['F222A']
F982A,['J919']
F20B,['J29']
P96-17,['F1609A']
F1728A,['J1688']
J1620,['F1636A']
J1477,['F1509B']
J1634,['F1655A']
F1714A,['J1669']
F1375A,['J1299']
J1250,['F1193A']
F1686A,['J1687']
F1763A,['J1745']
J1583,['F1612A']
F1757A,['J1728']
J1596,['F1639B']
F1758A,['J1731']
F1687A,['J1654']
F1700A,['J1660']
F1249A,['J1233']
J1251,['F1300B']
J1635,['F1670A']
F1713A,['J1709']
J1621,['F1648A']
F628,['F628A']
F1004A,['J1004']
F618A,['SH14-123']
F975A,['J913']
J815,['F819C']
F1590A,['J1760']
F1487B,['J1459', 'F1487C']
J869,['F909A']
F940B,['J808']
F1477B,['J1734']
J855,['F1091A']
J1013,['F1023A']
F1149A,['J1147']
P96-128,['J1758']
J1211,['F1257B']
F1598A,['F1598D']
J1205,['F1223A']
F162B,['J64']
F172A,['J174']
F1412A,['J1364']
J1408,['F1435A']
J132,['F126A']
J1394,['F1427A']
J1207,['F1266B']
J120,['F119A']
F804C,['F804D']
F1285C,['J1265']
J669,['F590A']
J1660,['F1700A']
J92,['F71A']
J1674,['F1738A']
J1011,['F1019A']
F946C,['J831']
J843,['F947A']
J999,['F1013A']
J828,['F501C']
J1045,['F1086B']
F14B,['J323']
F1386A,['F1386B']
J1623,['F1642B']
F1725A,['J1668']
F1262A,['J1291']
F1750A,['J1715']
J1253,['F1281A']
F819E,['F819D']
F1756A,['J1726']
J1594,['F1628B']
F1762A,['J1744']
J1580,['F1595A']
J1581,['F1665B']
F1394A,['F1394B']
J1595,['F1638B']
F1755A,['J1722']
J1252,['F1241A']
F1263A,['J1129']
J1609,['F1644B']
J1246,['F1305B']
J1622,['F1599C']
F1726A,['J1692']
F1270B,['F1270A']
F1373A,['J1275']
F1712A,['J1708']
J1636,['F1656A']
P96-9,['F1542B', 'J1718']
J172,['F170A']
J166,['F183A']
F978A,['J915']
J1044,['F993A']
F1580A,['J1550']
J842,['F945A']
J1004,['F1004A']
F951B,['J809']
F947A,['J843']
J856,['F1092A']
F1138A,['J1116']
F971A,['J912']
J1675,['F1692A']
P96-131,['J1767']
F1612A,['J1583']
J1661,['F1717A']
F804D,['F804C']
J119,['F118A']
J1649,['F1735A']
F1278B,['F1278C']
J1212,['P96-6']
F802A,['J1103']
J1381,['F1389A']
J128,['F140B']
SH14-8,['F565A']
F1416B,['F1416A']
J1409,['F1456B']
J1410,['F1429A']
F1399A,['J1372']
F810B,['J864']
F183A,['J166']
J1220,['F1170A']
F347A,['J348']
F817B,['J822']
J1650,['F1741A']
J102,['F149A']
J1197,['F1233A']
J90,['F69A']
J1183,['F1227C']
J490,['F1058A']
J1022,['F1033A']
F1151A,['J1122']
F1157A,['J1118']
F939A,['J838']
F1161A,['J1146']
F1488B.1,['P91-86']
F1570F,['J1510']
F1573A,['F1573B']
F1121A,['J1075']
F1101A,['J1085']
F1002A,['J1002']
J1075,['F1121A']
F991B,['J1070']
F1272A,['J1195']
F1732A,['J1697']
F1698A,['J1672']
F1704A,['J1665']
J1604,['F1643A']
F1242A,['J1249']
F1760A,['J1736']
J1599,['F1641C']
F1703A,['J1694']
J1605,['P96-121', 'F1634A']
F1745A,['J1704']
F1731A,['J1689']
F1697A,['J1690']
F1271A,['J1201']
F1730A,['J1663']
J1445,['F1470A']
F991C,['J1070']
P96-13,['F1773A', 'J1732']
J1060,['F989A']
F1003A,['J1003']
J831,['F946C']
J365,['F401A']
J980,['F896A']
F1487C,['J1459', 'F1487B']
F1162A,['J1117']
J872,['F1064A']
F933B,['J947']
J1008,['F1008A']
F967A,['J933']
F957A,['J851']
J491,['F287B']
F1291A,['J1240']
J101,['F148A']
J1651,['F1715A']
F1598D,['F1598A']
J1221,['F1210A']
F173B,['J154']
J1223,['F1219B']
F179A,['J168']
J1653,['F1723A']
J103,['F157A']
F1596C,['F1596A', 'F1596B']
F1598B,['F1598C']
J1647,['F1685A']
J1180,['F1208A']
J1194,['F1209A']
J1021,['F1032A']
J858,['F1061A']
F1463A,['F1463B']
F1467A,['J1441']
J864,['F810B']
J982,['F738B']
F932A,['J885']
J996,['F503B']
F1159A,['J1143']
J833,['F273B']
F76A,['J97']
F1573B,['F1573A']
F7A,['J31']
J154,['F173B']
J818,['F816B']
J1076,['F478C']
J168,['F179A']
F1001A,['J1001']
F1103A,['F1103B']
F1384D,['F1384E']
J1638,['F1673A', 'F1673B']
F1747A,['J1765', 'SH14-110']
J1607,['F1633A']
J1248,['F1172A']
F1265A,['J1153']
J1613,['F1661A']
F1241A,['J1252']
F1690A,['J1684']
J1260,['F1314C']
F1691A,['J1705']
F1389A,['J1381']
F1240A,['J1228']
J1275,['F1373A']
F1696A,['J1695']
F1734A,['J1657']
J1249,['F1242A', 'SH14-140']
F1748A,['J1713']
F1702A,['J1659']
F1264A,['J1236']
F1270A,['F1270B']
F210A,['J182']
F1384E,['F1384D']
F1000A,['J1043']
F990A,['J1034']
J1077,['F1106A']
J141,['F91A']
P90-35,['J136', 'F94A']
F1574A,['J1528']
J832,['F814C']
F931A,['J884']
J865,['F1111A']
F937C,['J990']
J983,['F1016B']
F1463B,['F1463A']
J859,['F903A']
F960A,['J928']
J1034,['F990A']
J1020,['F1031A']
F1288B,['J1254']
J1195,['F1272A']
F1294A,['J1216']
F1615A,['J1579']
F1598C,['F1598B']
J118,['F103A']
J1646,['F1683A']
J104,['F158A']
J1652,['F1736A']
J1236,['F1264A']
J129,['F142A']
F816B,['J818']
J1222,['F1180C']
F814C,['J832']
F811B,['J930']
F1410A,['J1361']
J1185,['F1236B']
F1595A,['J1580']
J1656,['F1721A']
J108,['F156A', 'P91-16']
J114,['F97A']
F1599C,['J1622']
J1024,['F1035A']
J1030,['F1082A']
F1165A,['J1164']
J875,['F926A']
J836,['F795B']
F1123A,['J1101']
F1132A,['J1111']
J822,['F817B']
F94A,['J136', 'P90-35']
J179,['F176A']
F9B,['J33']
F1576A,['J1541']
J809,['F951B']
F503B,['J996']
F214A,['J192']
F1275B,['F1275C']
J1265,['F1285C']
F1744A,['J1701']
F1738A,['J1674']
J1259,['F1216C']
F1693A,['J1682']
F1737A,['J1706']
F1692A,['J1675']
J1603,['F1662A']
F1743A,['J1677']
F1235A,['J1200']
J1457,['F1497A']
J150,['F154A']
F989A,['J1060']
J808,['F940B']
F1104C,['J1104']
J1066,['F892A']
F993A,['J1044']
J823,['F972B']
F82B,['J81']
F1585A,['J1555']
J837,['F813B']
J874,['F923B']
J860,['F904A']
F962B,['J812']
J1025,['F1036A']
J107,['F152A']
J1657,['F1734A']
J1190,['F1248A']
F1298A,['F1298B']
J662,['F1057A']
J1233,['F1249A']
F176A,['J179']
J1227,['F1212A']
J1225,['F1211A']
J1401,['F1436A']
F795B,['J836']
J1669,['F1714A']
J1641,['F1657A']
J1655,['F1739A']
F1596A,['F1596C']
F961A,['J853']
F965A,['J929']
F506B,['J862']
J1027,['F1039B']
J990,['F937C']
J876,['F852C']
F1481B,['F1481A']
J862,['F506B']
J984,['F192B']
P90-82,['F143A']
F478C,['J1076']
F482C,['J678']
J1070,['F991B', 'F991C']
F1114A,['J882']
F202A,['J185']
J1469,['F1503B']
F1720A,['J1707']
F1383D,['F1383C']
J1441,['F1467A']
F222A,['J158']
F1246A,['J1172']
F1769A,['J1752']
J1272,['F1278C']
F1236B,['J1185']
F1735A,['J1649']
F1741A,['J1650']
F1707A,['J1671']
J1600,['F1663A']
F1742A,['J1670']
F1708A,['J1664']
J609,['F440B']
J1614,['F1667A']
F1736A,['J1652']
J1267,['F1304B']
F1770A,['J1753']
F1266B,['J1207']
F1275A.1,['SH14-112']
J147,['F52A']
F1113B,['J820']
F1562B,['J1526']
F1103B,['F1103A']
J348,['F347A']
J820,['F1113B']
F1142B,['J1115']
F1470A,['J1445']
J985,['F995B']
F1153A,['J1769']
J877,['F920A']
J1026,['F1037A']
J1032,['F1085A']
J1654,['F1687A']
F1596B,['F1596C']
J1640,['F1671B']
F807C,['F807B']
J1668,['F1725A']
F1298B,['F1298A']
J661,['F1056A']
J1193,['F1205A']
J1400,['F1433A']
F1402A,['J1378']
J1414,['F1439A']
J1224,['F1213A']
J1230,['F1221A']
F356A,['J511']
F1435A,['J1408']
J1347,['F1364B']
F140B,['J128']
J1738,['F1772A']
F136B,['J73']
F1636A,['J1620']
J1707,['F1720A']
J1713,['F1748A']
F1304B,['J1267']
F1309A,['J1288']
F1627B,['J1576']
F566B,['F566A']
J933,['F967A']
F1505A,['J1471', 'F1505B']
F1172A,['J1248']
J890,['F794B']
J884,['F931A']
F1175C,['J1165']
F926A,['J875']
F1057A,['J662']
F119A,['J120']
F1043A,['J1081']
F1031A,['J1020']
F44A,['F44B']
J1751,['F1768A']
J1745,['F1763A']
J1082,['F1044A']
F1019A,['J1011']
F40A,['J50']
F1085A,['J1032']
F1349B,['J1304']
J1337,['F1368A']
J3,['F2B']
SH14-79,['F442B']
F1657A,['J1641']
F1673A,['J1638', 'F1673B']
F1229A,['F1229C']
F1673B,['J1638', 'F1673A']
F1221A,['J1230']
J1552,['F1582A']
J29,['F20B']
F39A,['J49']
J1083,['F1045A']
J1744,['F1762A']
J1750,['F1767A']
F120A,['J121']
F1044A,['J1082']
J1120,['F1198A']
F1058A,['J490']
J885,['F932A']
F925A,['J941']
F1171B,['F1171A']
F1505B,['F1505A']
J919,['F982A']
F1202A,['J1179']
J1175,['F1247A']
J1711,['F1774A', 'P96-18', 'F1774A', 'P96-18']
J58,['F67B']
J1706,['F1737A']
F1436A,['J1401']
F159A,['J149']
F1429A,['J1410']
J1378,['F1402A']
F1633A,['J1607']
J1710,['F509A']
J1704,['F1745A']
F1637A.2,['J1618']
F771A,['F771B']
F1305A,['F1305B']
F744D,['F744C']
F1204A,['J1169']
J930,['F811B']
F1198A,['J1120']
F566A,['F566B']
F1504B,['J1470']
P91-16,['F156A', 'J108']
J949,['F1068A']
J887,['F1094A']
F1170A,['J1220']
F915A,['J956']
J228,['F321C']
F1042A,['J1080']
F121A,['J84']
F1056A,['J661']
F71A,['J92']
J1122,['F1151A']
F1078B,['J896']
F44B,['F44A']
J1752,['F1769A']
F1008A,['J1008']
J1095,['F1055A']
F1082A,['J1030']
F5A,['F5B']
J1081,['F1043A']
J1510,['F1570F']
F895C,['F895D', 'J1068']
F1361A,['J1335']
J1550,['F1580A']
F1780A,['J1740']
