word,count
"estimate",38
"end",42
"part",52
"periods",10
"unvisited",2
"shores",9
"themselves",53
"verge",2
"precious",21
"mouldering",9
"pleasure",27
"antique",12
"book",46
"dress",26
"century",13
"wore",42
"venerable",6
"warming",5
"passage",9
"times",45
"young",11
"quaint",25
"opinions",3
"inspect",12
"ascertain",15
"themes",4
"concern",19
"mutual",24
"literature",3
"interested",3
"scholars",13
"competitions",5
"ran",30
"plato",3
"certainty",29
"sophocles",3
"sappho",3
"living",37
"girl",41
"beatrice",3
"gown",69
"dante",3
"deified",5
"facts",5
"traverses",6
"familiar",28
"dreams",22
"true",76
"born",37
"enchantment",5
"beg",10
"volumes",3
"shake",16
"vellum",3
"heads",28
"tantalize",3
"ended",16
"glee",31
"among",89
"garret",10
"leaving",17
"later",31
"understood",12
"explained",4
"spoke",29
"dripping",9
"foot",73
"tide",24
"unfrequented",9
"roads",14
"clearing",8
"resigned",7
"loom",7
"busy",35
"tomb",44
"employ",6
"stately",35
"pass",99
"royal",46
"thro",53
"flinging",4
"problem",14
"katie",14
"walks",6
"pair",15
"accompany",12
"runs",31
"unwearied",5
"follow",25
"kneels",3
"loving",25
"hands",91
"clasp",9
"pious",8
"knee",12
"smile",84
"fortune",8
"knit",8
"slept",11
"beneath",40
"remembered",27
"cradle",3
"mute",20
"recognized",4
"carmine",8
"autumn",34
"poets",17
"prosaic",4
"haze",18
"incisive",5
"mornings",16
"ascetic",5
"eves",4
"mr",12
"bryant's",5
"rod",5
"thom'son's",1
"sheaves",5
"bustle",15
"brook",65
"sealed",24
"valves",8
"mesmeric",5
"softly",86
"elves",5
"squirrel",26
"sentiments",7
"share",13
"grant",33
"lord",64
"sunny",10
"thy",202
"windy",5
"bear",93
"bears",21
"sword",9
"pierce",17
"armed",5
"hurls",4
"barbed",4
"syllables",14
"fell",44
"saved",39
"patriotic",4
"epauletted",7
"gave",52
"wherever",12
"breathless",14
"roams",4
"noiseless",4
"onset",11
"victory",56
"keenest",4
"marksman",6
"accomplished",13
"time's",32
"sublimest",4
"target",6
"dissolve",14
"eclipse",20
"midnight",58
"easter",2
"blindness",7
"dawn",72
"star",99
"bethlehem",13
"inform",6
"late",76
"pulse",2
"lust",3
"lisps",2
"chariots",12
"leaking",2
"spaniel",2
"heed",2
"beetles",3
"eminence",4
"remote",25
"drives",5
"ponderous",6
"perpendicular",2
"intimate",30
"transport",58
"terror",14
"jeopardy",1
"merriment",6
"depositing",2
"thunder",32
"hoists",2
"bomb",9
"ceiling",5
"improving",2
"keeps",39
"nerves",6
"progressive",2
"progress",8
"conjecture",14
"flourishing",2
"dear",62
"evening",66
"discreet",7
"alarm",19
"supplied",10
"entomology",6
"remaining",13
"baffled",13
"embarrassed",3
"afraid",58
"encounter",7
"maid",39
"beckons",10
"woods",54
"start",29
"nods",13
"begin",35
"surely",5
"work",60
"chiefer",5
"compensates",2
"immediately",13
"former",26
"checks",4
"bullion",2
"contrasted",2
"currency",4
"gifted",2
"discern",8
"broker's",2
"insight",2
"one's",21
"money",2
"prism",10
"excelling",4
"violet",14
"hunch",6
"miner's",4
"lamp",20
"sufficient",45
"nullify",4
"panels",6
"a'glow",3
"ruddy",11
"surpassing",15
"continually",7
"meridian",7
"rags",2
"mysterious",8
"courtiers",7
"vailing",4
"plumes",5
"ermine",16
"smiling",27
"request",11
"alms",11
"imposing",4
"floor",36
"glowing",14
"bonnet",37
"cheek",58
"kirtle",4
"speak",30
"vanish",7
"unrecorded",4
"save",24
"tearful",6
"rill",6
"looking",41
"unnumbered",6
"pausing",13
"given",50
"kept",54
"eat",13
"words",33
"rich",24
"hurrying",11
"school",35
"lips",71
"corners",6
"streets",26
"wrestled",9
"solid",26
"bars",29
"bold",68
"read",46
"sentence",18
"steadily",5
"reviewed",3
"extremest",3
"clause",13
"date",28
"manner",15
"shame",38
"form",10
"mercy",9
"jury",3
"voted",3
"extremity",11
"novel",10
"agony",27
"acquainted",5
"tranquilly",3
"salute",17
"matter",10
"ends",12
"escorts",2
"pungent",11
"company",46
"allow",8
"axiom",5
"opportunity",17
"undue",3
"starving",10
"attaches",3
"food",27
"off",78
"sighs",6
"therefore",35
"good",111
"partaken",3
"relieves",3
"indeed",63
"proves",10
"spices",22
"receipt",5
"savory",6
"anybody",27
"you'll",27
"row",19
"stars",78
"forehead",57
"bound",21
"frugal",26
"esteem",25
"ducats",3
"green",50
"drifts",11
"difficult",28
"left",103
"retrospection",8
"prospect's",4
"half",97
"win",7
"gamblers",2
"recollecting",15
"toss",15
"dice",8
"dreaming",12
"hurt",37
"playing",14
"kill",13
"shriek",4
"externally",2
"blood",31
"dying",120
"drama",15
"either",25
"open",26
"phantasm",4
"prove",81
"livid",15
"surprise",48
"cool",65
"shafts",2
"age",10
"phrase",6
"egyptian",2
"prudenter",4
"antiquated",11
"cherished",19
"crow",8
"junior",9
"foliage",7
"disrespectful",3
"corporation",3
"coat",21
"decorate",5
"oblivion's",5
"remotest",13
"consulate",3
"lives",61
"swiss",4
"odd",35
"afternoon",72
"alps",15
"neglect",4
"curtains",12
"look",230
"farther",19
"italy",9
"guard",16
"siren",8
"intervene",8
"service",34
"tenderest",2
"unsustained",4
"rewarded",2
"impetus",7
"knows",80
"hearse",3
"dirge",3
"delusive",6
"lilac",9
"vanity",5
"divulge",4
"industry",21
"morals",2
"righteous",2
"idleness",12
"spring",69
"rumbles",5
"torrid",12
"noons",23
"missiles",5
"lightning",43
"preceded",7
"struck",22
"bolt",12
"indebtedness",4
"chemist",5
"repay",4
"obligation",11
"electricity",4
"founds",4
"homes",14
"decks",13
"clamor",8
"gleam",10
"concomitant",5
"waylaying",7
"quiet",62
"crash",8
"sound",78
"reverberation",4
"explanation",7
"sic",3
"transit",8
"gloria",3
"mundi",3
"dum",3
"vivamus",4
"stay",75
"enemy",31
"veni",3
"vidi",3
"vici",3
"caput",3
"cap",11
"pie",3
"memento",3
"mori",3
"hurrah",6
"peter",19
"parley",7
"daniel",3
"boone",1
"cheers",3
"gentleman",10
"observed",10
"moon",64
"sunshine",35
"pattie",3
"arrange",6
"luna",3
"tea",11
"waiting",21
"mars",4
"adam",14
"shal't",1
"pippin",2
"father's",19
"science",22
"view",16
"landscape",27
"transcendental",3
"prospect",7
"ne'er",24
"beheld",21
"legislature",3
"bids",3
"india",16
"rubbers",3
"blow",33
"during",14
"education",6
"announced",3
"gravitation",4
"stumbling",6
"earth",137
"axis",13
"supposed",27
"turn",72
"gymnastic",3
"brave",51
"columbus",5
"sailing",7
"notified",3
"nations",12
"reside",3
"fatal",10
"gentility",3
"fine",59
"rascality",3
"heroic",6
"insolvency",3
"sublime",8
"fathers",3
"weary",44
"laid",55
"bunker",3
"morn'g",1
"sleeping",13
"trumpet",5
"wake",37
"streams",4
"rise",51
"musket",10
"marching",3
"skies",84
"coward",7
"fight",15
"immortal",39
"hero",3
"hat",60
"run",75
"bye",32
"calleth",3
"wipe",3
"weeping",3
"e'e",3
"token",3
"friendship",3
"accept",10
"bonnie",6
"doon",3
"pluck'd",1
"consolation",6
"farewell",6
"tuscarora",3
"whether",58
"bark",11
"met",85
"bent",21
"docile",32
"mystic",12
"errand",14
"bay",9
"romance",6
"sold",11
"enthrall",6
"individual",9
"fiction's",4
"dilute",4
"plausibility",9
"credit",10
"tis'nt",5
"saddest",2
"noise",26
"sweetest",20
"maddest",13
"delicious",13
"close",68
"april",39
"line",27
"magical",6
"frontier",9
"hesitates",5
"heavenly",42
"sauntered",11
"separation's",8
"sorcery",7
"cruelly",2
"deplore",4
"wish",27
"throats",2
"break",47
"quickly",5
"spear",2
"dangerously",2
"accepted",4
"compete",2
"crown",54
"title",14
"stooped",12
"wilderness",32
"attendeth",3
"frost",75
"haunt",10
"perennial",14
"bloom",55
"certain",28
"june",61
"gabriel",12
"unsteady",2
"trance",6
"glory",68
"fittest",2
"products",4
"farm",10
"benefit",3
"neighbor's",4
"bin",5
"harvest",4
"reverse",25
"zodiac",2
"fetch",22
"acres",16
"venerate",3
"seasons",40
"needs",10
"trifle",12
"termed",12
"invest",6
"acorn",4
"egg",7
"upper",14
"glad",35
"stranger'd",3
"sorry",12
"publishes",5
"ourselves",72
"justified",27
"joy",101
"similar",9
"optizan",3
"spry",2
"arms",16
"crawl",15
"adjoining",9
"zone",13
"care",93
"stop",78
"stroll",4
"soul's",14
"hold",85
"wick",14
"return",51
"renunciation",6
"piercing",8
"virtue",5
"letting",6
"expectation",26
"putting",8
"day's",13
"progenitor",2
"outshow",1
"outglow",1
"outvie",2
"choosing",7
"against",49
"function",21
"appear",19
"smaller",30
"covered",7
"safe",29
"alabaster",18
"chambers",16
"untouched",18
"meek",36
"members",11
"resurrection",35
"rafter",11
"satin",33
"stone",90
"grand",38
"crescent",31
"worlds",16
"scoop",12
"arcs",4
"firmaments",12
"diadems",14
"doges",4
"dots",4
"disc",11
"dont",52
"pray",55
"ask",79
"astonished",10
"answering",4
"sure",83
"flocks",7
"shepherd's",4
"arm",27
"you're",23
"bit",12
"believe",45
"i'd",74
"curious",31
"mighty",80
"crisis",7
"hair",61
"creep",8
"retrogade",3
"suspend",2
"ignorant",23
"nicely",2
"balancing",2
"push",35
"atom",13
"press",9
"circle",2
"hesitate",14
"jolt",2
"secures",4
"presenting",2
"worthiness",8
"merit",20
"contrasting",4
"quality",19
"lowlier",3
"insufficient",8
"chiefest",13
"apprehension",5
"crowded",17
"happy",65
"thronging",2
"deity",46
"stoop",10
"inherently",2
"incline",2
"higher",16
"lift",65
"base",14
"undivine",5
"elect",3
"conform",3
"twere",46
"sacrament",38
"demeaning",2
"exclusive",9
"wealth",28
"beside",32
"spent",8
"hoarded",3
"misers",2
"wring",6
"indies",2
"abashless",3
"foreigner",7
"knocks",12
