token,count,works
"pedigree",2,2
"1*11",1,1
"institute",1,1
"action—",1,1
"i'll",3,2
"vindicate",1,1
"law",4,4
"jove",1,1
"counsel",1,1
"retain",3,3
"shaw",1,1
"rapid",1,1
"passed",5,5
"unsubstantial",2,2
"team",1,1
"hovering",1,1
"alarm",5,5
"villages",2,2
"remotely",1,1
"set",7,7
"search",3,3
"retrieveless",2,2
"vigilance",1,1
"waste",3,2
"gets",2,2
"traced",1,1
"unproved",1,1
"worst",2,2
"fear",9,8
"strangers",2,2
"secrets",4,3
"dig",1,1
"her—a",1,1
"laborer.”",1,1
"m",2,2
"l",1,1
"t",3,3
"analyze",1,1
"philip",2,2
"prefer",2,2
"labor",2,2
"vaster",2,2
"infer",4,4
"“protect",1,1
"flower,”",1,1
"sailors",1,1
"fighting",2,2
"leak",1,1
"fought",1,1
"mortality",2,2
"passive",3,3
"mountain",3,3
"shelf",1,1
"pried",1,1
"back",13,13
"wedged",1,1
"narrow",5,5
"snake",2,2
"forked",1,1
"•",77,42
"helpless",4,4
"beauty",4,3
"wrath",1,1
"ravine",1,1
"chased",2,2
"den",3,3
"nowhere",3,3
"continent",2,2
"larger",5,5
"wrinkle",1,1
"beloved",7,7
"clutch",6,5
"grace",16,14
"tighter",1,1
"resent",1,1
"crease",3,3
"comely",1,1
"dishevels",1,1
"asserting",1,1
"prism",2,2
"punish",2,2
"worthlessness",1,1
"earthly",4,4
"ditty",1,1
"sings",1,1
"enforces",1,1
"rectitude",1,1
"suffocate",1,1
"kinsmen",2,2
"plenty",1,1
"pulpy",1,1
"multitude",2,2
"tepid",1,1
"needless",1,1
"hospitality",1,1
"advanced",1,1
"breakfasted",1,1
"pondered",1,1
"judged",2,2
"left",13,12
"angleworm",1,1
"modesties",1,1
"enlarged",3,3
"mansion",3,3
"frog",1,1
"forsakes",2,2
"log",1,1
"statements",1,1
"auditors",1,1
"worlds",1,1
"deducting",1,1
"orator",1,1
"hoarse",1,1
"mittens",1,1
"eloquence",1,1
"bubble",4,3
"applaud",1,1
"discover",3,3
"chagrin",1,1
"demosthenes",1,1
"forums",1,1
"green",5,3
"sanctifies",1,1
"association",1,1
"overhear",1,1
"arrestless",1,1
"matter",2,2
"fdireign",1,1
"protection",1,1
"asked",3,3
"befriend",1,1
"lest",15,15
"yourself",4,4
"found",15,15
"refugee",1,1
"cosmopolites",1,1
"plea",1,1
"alight",1,1
"land—",1,1
"compliments",2,2
"hand—",1,1
"dappled",4,4
"compensation",1,1
"“knock",1,1
"opened”",1,1
"theology",1,1
"touch",7,7
"guitar",1,1
"unless",6,6
"know’st",1,1
"tune",14,13
"point",1,1
"wert",6,3
"bard",1,1
"soon",5,5
"anguish",12,12
"shun",4,4
"despair",7,7
"dear",7,7
"iniquity",1,1
"why",12,10
"quick",7,7
"stab",2,2
"ravished",2,2
"spirit",13,12
"dirks",1,1
"part",7,7
"inquiry",1,1
"receive",1,1
"reply",6,6
"flesh",3,3
"sunder",1,1
"death’s",3,3
"immediately",3,3
"investigated",1,1
"laid",7,6
"aside",3,3
"imparts",1,1
"bluebird",1,1
"assured",2,2
"ostensible",1,1
"vicissitude",1,1
"competing",1,1
"gallant",2,2
"exalts",1,1
"adhere",1,1
"swerves",1,1
"fortitude",3,3
"stanched",1,1
"10",5,4
"printed",1,1
"england",7,7
"quarterly",6,6
"193a",1,1
"variant",2,2
"lines",5,5
"previously",1,1
"appeared",2,2
"letters",1,1
"1894",1,1
"22a",1,1
"bobolink",6,5
"singing",2,2
"ever",9,9
"minded",1,1
"occupying",1,1
"farmer",1,1
"close",6,6
"core",3,3
"future",4,4
"best",16,14
"horizon",2,2
"brave",6,6
"anodynel",1,1
"obliged",1,1
"inferred",3,3
"impudent",1,1
"habiliment",1,1
"attired",1,1
"defy",1,1
"impertinence",1,1
"subordinate",1,1
"sentiments",1,1
"seditious",1,1
"amenable",1,1
"heresies",2,2
"puck’s",1,1
"apostasy",2,2
"extrinsic",1,1
"attention",4,4
"existence",5,5
"allured",1,1
"children",12,11
"adult",2,2
"urgent",1,1
"grown",8,8
"unforeseen",1,1
"aggrandizement",1,1
"renown",7,7
"contrast",3,3
"certifying",1,1
"nullified",1,1
"meadow",4,4
"sorcerer",1,1
"rowdy",1,1
"swaggers",1,1
"presbyterian",1,1
"resume",2,2
"meeting",3,3
"interrupted",1,1
"overflowing",1,1
"sabbath",1,1
"afflictive",1,1
"swung",1,1
"decalogue",1,1
"shouted",1,1
"“let",1,1
"pray",4,4
"phebe",3,1
"less",13,13
"fitted",4,4
"dwelt",2,2
"seek",6,6
"shy",5,5
"blame",9,8
"print",1,1
"floors",1,1
"sparrow",1,1
"slice",1,1
"twig",3,3
"very",9,9
"nice",2,2
"because",32,26
"empty",3,3
"plate",2,2
"handed",1,1
"invigorated",1,1
"fully",1,1
"turned",4,4
"familiar",5,5
"saddle",1,1
"immensity",1,1
"robin",8,8
"troubadour",1,1
"circumstances—",1,1
"guests",2,2
"perspicacity",1,1
"fugitive",2,2
"you’ll",4,3
"smallest",7,7
"gamboge",1,1
"toes",2,2
"affront",6,5
"quaint",1,1
"creature’s",1,1
"boot",1,1
"adjusted",2,2
"stem",5,5
"button",1,1
"vouch",1,1
"velvet",1,1
"limb",1,1
"vest",3,3
"tight-fitting",1,1
"orange-brown",1,1
"inside",1,1
"jacket",2,2
"duller",1,1
"born",5,5
"cap",1,1
"snug",1,1
"constructed",1,1
"she’d",1,1
"barehead",1,1
"off",6,6
"closer",1,1
"stands",6,6
"seam",2,2
"clasped",1,1
"brim",1,1
"you'll",2,2
"doubtful",4,4
"tone",2,2
"endeavor",1,1
"hurries",1,1
"squanders",1,1
"ear",13,12
"arguments",1,1
"pearl",8,7
"beg",4,4
"brain",7,7
"crumb",5,5
"returns",1,1
"records",1,1
"lady’s",2,2
"chronicle",1,1
"sights",1,1
"chuckles",1,1
"flattens",1,1
"crawls",1,1
"runs",1,1
"increase",1,1
"balls",2,2
"jaws",1,1
"twitching",1,1
"hungry",2,2
"teeth",2,2
"hardly",1,1
"stand",8,7
"leaps—but",1,1
"leaped",4,4
"pussy",1,1
"hopes",1,1
"juicy",1,1
"ripening",1,1
"bathed",1,1
"tongue",9,9
"hundred",2,2
"wings",6,6
"fled",2,2
"bill",1,1
"locked",1,1
"feathers",3,3
"wilted",2,2
"claws",1,1
"clung",1,1
"lifeless",1,1
"gloves",1,1
"indifferent",2,2
"hanging",1,1
"happy",9,9
"throat",2,2
"waiting",4,4
"poured",1,1
"gored",1,1
"assassin",2,2
"resembles",1,1
"outraged",1,1
"firing",1,1
"angels",3,3
"squandering",1,1
"miracles",1,1
"rat",1,1
"surrendered",1,1
"brief",4,4
"career",2,2
"cheer",2,2
"fraud",5,3
"ignominy’s",1,1
"addicted",1,1
"beware",2,2
"most",21,19
"obliging",1,1
"trap",1,1
"tendency",1,1
"snap",1,1
"resist",2,2
"temptation",1,1
"repugnantly",1,1
"resigned",1,1
"important",1,1
"population",1,1
"unnoticed",1,1
"dwell",6,6
"minute",4,4
"hell",6,6
"’twere",1,1
"useless",1,1
"bumblebees",1,1
"i'm",10,8
"expecting",1,1
"saying",2,2
"yesterday",5,3
"somebody",3,2
"frogs",1,1
"got",3,3
"week",1,1
"settled",2,2
"mostly",5,5
"clover",4,4
"warm",7,6
"thick",3,3
"get",5,5
"letter",3,3
"seventeenth",1,1
"better",12,11
"yours",3,3
"bees",3,3
"black",2,2
"gilt",1,1
"surcingles",1,1
"buccaneers",1,1
"buzz",2,2
"ride",3,3
"ostentation",1,1
"subsist",1,1
"fuzz",3,1
"contingent",1,1
"marrows",1,1
"jugs",1,1
"universe's",1,1
"honey",3,3
"lineage",1,1
"delay",1,1
"spangled",1,1
"journeys",1,1
"peak",1,1
"perceiveles",1,1
"tripoli",1,1
"essential",2,2
"11",5,5
"plank",2,1
"saved",2,2
"bee—",1,1
"personally",1,1
"knew—",1,1
"sinking",1,1
"’twixt",1,1
"billows",1,1
"circumference",6,6
"sweeping",1,1
"quatrain",3,3
"1890",1,1
"73",1,1
"idly",1,1
"swaying",1,1
"responsible",1,1
"naught",7,6
"freight",5,5
"bumblebee",2,2
"harrowing",1,1
"event",3,3
"transpiring",1,1
"wring",1,1
"41",1,1
"alas",2,2
"i”",2,2
"silken",1,1
"specious",2,2
"shoe",3,3
"traitor",1,1
"newest",2,2
"continually",1,1
"suit",5,4
"chance",9,9
"troth",3,3
"term",2,2
"protracted",1,1
"ban",1,1
"propoundeth",1,1
"divorce",2,2
"toss",3,3
"incessantly",2,2
"fleeing",1,1
"avenging",1,1
"dooms",1,1
"balm",7,7
"carriage",1,1
"boldly",2,2
"combinedly",1,1
"alighting",2,2
"equipage",2,2
"frank",1,1
"tranquillity",1,1
"withholding",1,1
"crescent",2,2
"cupidity",1,1
"consummated",2,2
"remained",2,1
"humility",1,1
"least",10,10
"brew",1,1
"honey’s",1,1
"weight",3,3
"multiply",1,1
"content",6,6
"fraction",2,2
"quantity",1,1
"oriental",2,2
"exhilarate",2,2
"filling",1,1
"fatigued",1,1
"allures",1,1
"jaded",1,1
"lowly",1,1
"intoxicated",1,1
"surpassing",1,1
"revelry",1,1
"spends",1,1
"luscious",1,1
"revery",2,2
"recounting",1,1
"nectars",1,1
"known",9,8
"attars",1,1
"failed",5,5
"honeys",1,1
"spared",2,2
"hungers",1,1
"attain",2,2
"beetles",1,1
"love",32,25
"eminence",1,1
"drives",2,2
"ponderous",2,2
"perpendicular",1,1
"figure",2,2
"terror",5,5
"jeopardy",1,1
"depositing",1,1
"thunder",1,1
"hoists",1,1
"bomb",2,2
"ceiling",1,1
"improving",1,1
"nerves",2,2
"progressive",1,1
"conjecture",5,5
"flourishing",1,1
"discreet",2,2
"supplied",4,4
"entomology",2,2
"charm",2,2
"waltzed",1,1
"espied",1,1
"caught",6,6
"missed",3,3
"footing",2,2
"both",8,8
"wrecked",2,2
"surviving",1,1
"biography",2,2
"example",1,1
"monition",1,1
"12",4,3
"butterfly’s",1,1
"numidian",1,1
"gown",4,4
"spots",1,1
"burnish",1,1
"roasted",1,1
"proof",3,3
"prone",1,1
"shut",8,7
"fan",2,2
"languid",1,1
"lean",5,5
"undone",6,5
"moth",1,1
"candles",1,1
"brazil",1,1
"reddest",1,1
"pale",1,1
"fond",1,1
"trinkets",1,1
"girl",5,5
"153",1,1
"slim",1,1
"palace",1,1
"dust",14,14
"relegates",1,1
"realm",4,4
"loyal",1,1
"exody",1,1
"befallen",1,1
"burdock",1,1
"twitched",1,1
"burdock's",2,1
"bog",1,1
"affronts",1,1
"else",5,5
"bogs",1,1
"splashing",1,1
"minnows",1,1
"despise",3,3
"elephant's",1,1
"calm",3,3
"smaller",5,4
"pasture",1,1
"passing",1,1
"crumb—",1,1
"barns",1,1
"ignorant",5,5
"extemporaneous",1,1
"stalls",1,1
"abhorrence",1,1
"walls",2,2
"reserving",2,2
"presumption",4,4
"descend",1,1
"gallop",2,2
"furniture",2,2
"odiouser",1,1
"offend",1,1
"peculiar",1,1
"calling",1,1
"unqualified",1,1
"judge",3,3
"remand",1,1
"justify",3,3
"scourge",1,1
"owl",2,1
"i've",3,3
"father",10,9
"owls",1,1
"oaks",2,2
"here's",1,1
"slanted",1,1
"path",1,1
"barn",3,3
"serve",2,2
"midnight—let",1,1
"select",2,2
"favorite",2,2
"refrain",1,1
"spider",2,2
"unperceiv^d",1,1
"hands",9,9
"dancing",1,1
"yarn",1,1
"unwinds",1,1
"plies",1,1
"trade",1,1
"supplants",2,2
"tapestries",1,1
"period—",1,1
"hour",10,10
"rear",1,1
"theories",1,1
"dangle",2,2
"housewife's",1,1
"broom",2,2
"sophistries",1,1
"forgot",12,11
"many",16,15
"keys",1,1
"peninsula",1,1
"fact",7,6
"land",4,4
"cricket",2,2
"utmost",4,4
"elegy",1,1
"ether",1,1
"hood",1,1
"sit",2,2
"head—",1,1
"millinery",1,1
"supple",2,2
"sagacious",1,1
"god—",1,1
"slip",5,5
"dandelion's",1,1
"expires",1,1
"castanet",1,1
"struck",2,2
"muff",1,1
"tippet",1,1
"ignores",1,1
"infidel",1,1
"swarthy",2,2
"lotus",1,1
"chestnut",2,2
"sable",1,1
"line—",1,1
"solitary",1,1
"design",4,4
"apparent",1,1
"action",2,2
"maintain",2,2
"meets",1,1
"nearer",5,5
"gives",1,1
"passer-by—",1,1
"shadow",1,1
"haply",4,4
"theirs",2,2
"general",4,4
"plan",3,2
"severally",1,1
"promote",1,1
"antiquated",3,3
"cherished",3,3
"crow",1,1
"junior",2,2
"foliage",2,2
"disrespectful",1,1
"venerable",1,1
"corporation",1,1
"decorate",1,1
"oblivion’s",3,2
"consulate",1,1
"fits",3,3
"umber",1,1
"tailor",1,1
"nut",1,1
"combined",3,3
"raiment",1,1
"dream",8,8
"spun",1,1
"auburn",1,1
"cloth",1,1
"computed",1,1
"girth",1,1
"ag£d",2,2
"grows",6,6
"primeval",1,1
"clothes",2,2
"wise",5,5
"accomplished",1,1
"surprise",9,8
"countryman",1,1
"saucer",2,1
"sordid",2,2
"squirrel’s",1,1
"estimate",4,4
"loaf",2,2
"table",3,3
"demands",1,1
"king",3,3
"dining-room",1,1
"swing",3,3
"lips",11,11
"flashing",1,1
"dines",1,1
"birmingham",1,1
"eclipse",2,2
"convicted",3,3
"minutiae",1,1
"flies",1,1
"integrity",1,1
"customary",1,1
"trinket",1,1
"confer",2,2
"helps",2,2
"stimulate",2,2
"lovers",1,1
"afar",2,2
"various",3,2
"taste",4,4
"clematis",1,1
"journeying",1,1
"presents",2,2
"curl",1,1
"electric",2,2
"hair",13,10
"gentian",2,2
"parched",1,1
"azure",2,2
"dried",1,1
"buoyant",1,1
"juices",1,1
"beatified",1,1
"vaunt",1,1
"casual",1,1
"benign",1,1
"isolate",1,1
"bond",2,2
"fill",6,6
"fringed",1,1
"abundant",1,1
"lot",3,3
"truth",10,8
"declare",1,1
"fidelity",1,1
"gain",7,6
"creation",4,3
"o'er",2,2
"absorb",1,1
"flame",3,3
"aware",1,1
"added",2,2
"struggle",1,1
"capacity",2,2
"contain",4,4
"always",9,9
"contents",1,1
"giant",5,4
"room",7,7
"lodge",1,1
"lesser",4,4
"child",11,11
"troubled",2,2
"deciding",1,1
"heavens",4,3
"weighed",1,1
"bolt",2,2
"prove",9,8
"giants",1,1
"understand",4,4
"problems",1,1
"solve",1,1
"algebra",1,1
"easier",3,3
"simpler",2,2
"proved",2,2
"sorer",2,2
"puzzled",2,2
"break",3,3
"tumble",2,2
"given",8,8
"gods",3,3
"dare",14,13
"eat",2,2
"sleep",7,7
"words",8,8
"“rich,”",1,1
"hurrying",1,1
"school",6,6
"streets",1,1
"rich",6,4
"gold",9,7
"bars—",1,1
"bold",10,10
"parasol",2,2
"umbrella’s",1,1
"daughter",1,1
"associates",1,1
"abuts",1,1
"abridges",1,1
"assists",3,3
"siren",1,1
"serene",3,3
"display",2,2
"latter",2,2
"sire",2,2
"honored",2,2
"borrowed",1,1
"angle",1,1
"landscape",2,2
"curtain",1,1
"wall",2,2
"ample",5,5
"crack",1,1
"venetian",1,1
"accosts",1,1
"open",3,3
"bough",2,1
"apples",1,1
"slanting",1,1
"forehead",2,2
"vane’s",1,1
"forefinger—",1,1
"that’s",2,2
"shift",1,1
"picture",2,2
"emerald",2,2
"emeralds",1,1
"diamonds",3,3
"polar",2,2
"caskets",1,1
"fetched",1,1
"steeple’s",1,1
"finger",3,3
"live",21,20
"farmers",2,2
"hoe",1,1
"amherst",1,1
"wear",10,10
"shoes",1,1
"eden",7,5
"pleasant",1,1
"won't",9,5
"scold",2,2
"we’re",2,2
"sure",9,5
"there’s",3,3
"person",3,3
"nurse",1,1
"calls",1,1
"“die",1,1
"shan’t",1,1
"walk",5,5
"jasper",2,2
"barefoot",8,6
"ransomed",3,3
"folks",1,1
"won’t",1,1
"laugh",2,2
"maybe",1,1
"ain’t",1,1
"don’t",7,6
"cry",8,6
"tim",8,1
"prevent",1,1
"hide",5,5
"condescend",1,1
"brown",2,2
"“tim",1,1
"high!”",1,1
"shake",1,1
"hymn",2,2
"“please",1,1
"sir",7,7
"way!”",1,1
"clergymen",1,1
"arrange",1,1
"simultaneous",1,1
"crown",6,6
"palm-leaf",1,1
"ermine",5,5
"faded",4,4
"jacket's",2,1
"crest",2,2
"bore",10,10
"pocket",1,1
"stately",5,4
"earl",4,3
"marquis",1,1
"’twas",10,8
"czar",1,1
"petite",1,1
"pope",1,1
"kind",6,6
"horse",3,3
"freckled",3,3
"monarch",1,1
"rein",2,2
"doubtless",5,4
"estimable",1,1
"disposed",1,1
"wagon",2,2
"presume",5,5
"vehicle",1,1
"transported",1,1
"ragged",3,3
"princes",1,1
"partook",2,2
"excursion",1,1
"sovereigns",1,1
"question",3,3
"coach",3,3
"footmen",1,1
"significance",2,2
"124",2,1
"18",5,4
"1893",1,1
"56",1,1
"dog",6,5
"wags",1,1
"tail",1,1
"reminded",1,1
"gambols",1,1
"living",7,7
"honestly",1,1
"cat",2,2
"corner",1,1
"dwells",3,3
"mouse",4,4
"tradition",2,2
"desireless",1,1
"class",1,1
"remind",2,2
"neither",12,10
"please",4,3
"“a",5,4
"bit",1,1
"beseech",1,1
"pull",1,1
"stockings",1,1
"wading",1,1
"water",6,5
"disobedience",1,1
"sake",3,3
"lived",6,6
"“or'ter",1,1
"didn’t",3,3
"moses",3,3
"wasn't",2,1
"fairly",1,1
"used—",1,1
"ananias",1,1
"blackberry",2,1
"wears",1,1
"thorn",1,1
"offers",1,1
"partridge",1,1
"fence",3,2
"struggles",1,1
"clasps",1,1
"rock",2,2
"sympathy",1,1
"hurt",3,3
"mourner",2,2
"farther",4,4
"climbs",1,1
"instead—",1,1
"abraham",3,1
"kill",2,2
"distinctly",1,1
"isaac",2,1
"urchin",1,1
"hesitation",1,1
"flattered",1,1
"tyranny",2,2
"demurred",1,1
"tale",5,5
"moral",1,1
"mastiff",1,1
"manners",2,2
"strawberries",1,1
"grow",7,7
"climb",4,3
"tried",8,8
"know—",2,2
"berries",4,4
"stained",1,1
"apron",1,1
"certainly",3,3
"he'd",1,1
"spotted",3,3
"tears",4,4
"infant",1,1
"cicatrice",1,1
"years",16,14
"crumpled",1,1
"cheek",2,2
"kiss",1,1
"flake",3,3
"divided",1,1
"redbreast",1,1
"mother",3,3
"grave",20,18
"brethren",1,1
"commonwealth",2,1
"alive",9,5
"trudging",3,2
"looking",4,4
"backward",3,3
"somebody's",1,1
"lisped",2,2
"“trotwood.”",1,1
"belong",3,3
"comfort",3,3
"couldn’t",3,3
"weep",1,1
"smiling",6,5
"acquaintance",2,2
"baby",1,1
"hear",14,13
"’em",2,2
"hunt",1,1
"fox",1,1
"hound",3,3
"dull",10,10
"dirty",1,1
"freely",1,1
"mine—",4,4
"won",2,2
"bun—",1,1
"shrine",1,1
"eligibly",1,1
"sees",2,2
"visage",1,1
"knees",1,1
"syllables",1,1
"day's",3,3
"adventures",1,1
"groups",1,1
"continents",1,1
"feeds",2,2
"rarer",1,1
"intervals",1,1
"demur",2,2
"meekly",1,1
"recognize",2,2
"gulf",1,1
"crumbless",1,1
"fainting",1,1
"knee",3,3
"fall",4,4
"mama",1,1
"forgets",2,2
"looks",4,4
"often",10,10
"tenderly",2,2
"nest",2,2
"cunning",3,3
"wove",1,1
"either",4,4
"“sparrows",1,1
"fall”",1,1
"“notices”",1,1
"young",2,2
"cousins",1,1
"louisa",1,1
"fanny",1,1
"norcross",1,1
"17",3,2
"i860",1,1
"counts",1,1
"tract",1,1
"cipherless",1,1
"teach",3,2
"ten",4,4
"peevish",2,2
"acquire",1,1
"numerals",1,1
"dowered",1,1
"adorning",1,1
"rule",3,2
"slate",1,1
"pencil",6,6
"distracts",1,1
"children’s",1,1
"eternal",2,2
"regards",1,1
"cipher",1,1
"alike",4,4
"leader",1,1
"urchin's",1,1
"sum",6,6
"beggar",6,5
"lad",3,3
"dies",4,4
"it’s",7,5
"somewhat",7,5
"cold",6,6
"world—",2,1
"cruel",2,2
"bowing",1,1
"cambric",1,1
"timid",3,3
"“bread",1,1
"redeemed",1,1
"sleet",2,2
"bitter",1,1
"childish",1,1
"teased",2,2
"pence",1,1
"adoring",1,1
"supplicate",1,1
"graves",2,2
"isn’t",1,1
"besides",6,6
"isn't",1,1
"slants",1,1
"fearing",2,2
"hearts",3,3
"drop",11,11
"crush",1,1
"move",5,5
"enemies",1,1
"occasionally",2,2
"ribbons",1,1
"brocade",1,1
"worn",3,3
"party",4,4
"flung",1,1
"bead",1,1
"wrinkled",3,3
"pearl—",1,1
"charge",2,2
"vanity",1,1
"maker’s",1,1
"i’m",4,3
"getting",1,1
"“day”",1,1
"draw",1,1
"hearing",2,2
"i’ll",11,9
"orchards",4,4
"pretense",1,1
"really",1,1
"whether",7,7
"buttercups",1,1
"skim",1,1
"skip",2,1
"lea",1,1
"tree—",1,1
"let’s",1,1
"flakes",1,1
"14",4,3
"counted",1,1
"danced",1,1
"slippers",1,1
"rebels",1,1
"jolly",1,1
"resign",1,1
"prig",1,1
"marshaled",1,1
"jig",1,1
"title",2,2
"mob",2,2
"ihe",1,1
"police",1,1
"suppress",1,1
"certified",2,2
"signified",1,1
"growing",3,3
"hurricane",2,2
"congenial",1,1
"true",10,8
"’twas—",2,2
"forget",10,8
"heavenly",5,4
"esteem",3,3
"conferred",1,1
"owe",1,1
"forgive",6,4
"starved",3,3
"dine",2,2
"food's",1,1
"necessity",2,2
"claw",2,2
"remove",3,3
"coax",2,2
"leech",2,2
"dragon",1,1
"dinner",1,1
"mightier",1,1
"gad",1,1
"being",10,10
"cried",1,1
"pity",3,3
"pain",13,12
"woman",3,3
"“poor",1,1
"voic",1,1
"fainted",1,1
"health",2,2
"laughter",2,2
"toy—",1,1
"‘‘rich",1,1
"people”",1,1
"parcel",1,1
"rolled",1,1
"carried",3,3
"gold—",1,1
"wish",5,3
"slightest",1,1
"lamp",2,2
"book",5,4
"geranium",1,1
"stationed",2,2
"catch",3,3
"mint",1,1
"ceased",5,5
"basket",3,3
"addressed",2,2
"bear",13,13
"aloud",2,2
"racket",1,1
"shamed",1,1
"anyone",2,2
"noteless",1,1
"bereft",1,1
"lurked",1,1
"notwithstanding",3,3
"stole",1,1
"bemoaning",1,1
"prince",1,1
"cast",2,2
"elder",1,1
"session",1,1
"wiser—",1,1
"fainter",2,2
"wiseness",1,1
"is—",2,2
"searching",2,2
"delinquent",1,1
"palaces",1,1
"suspicion",2,2
"touches",2,2
"oppositely",1,1
"site",1,1
"kingdom",1,1
"reluctant",2,2
"reticence",3,3
"deliberately",1,1
"crawled",1,1
"visitor",1,1
"hurriedly",1,1
"revisiting",1,1
"late",6,6
"abode",4,4
"articles",1,1
"quietly",1,1
"assumed",2,2
"gymnasium",1,1
"tax",1,1
"inmates",1,1
"perpetual",4,4
"lawful",1,1
"heir",1,1
"strike",3,3
"seize",1,1
"according",3,3
"statute",1,1
"learned",3,3
"redress",1,1
"offense",1,1
"larceny",1,1
"marrow",1,1
"spider—or",1,1
"forbid",1,1
"specify",1,1
"cars",1,1
"affronted",2,2
"gilded",1,1
"seconds",3,3
"by—",1,1
"slowest",1,1
"instant",10,9
"ends",1,1
"pendulum",1,1
"begins",2,1
"scholars",2,2
"steps",4,4
"hall",2,2
"violin",1,1
"read",2,2
"telegrams",1,1
"chief",4,4
"stocks",1,1
"advance",2,2
"retrograde",2,2
"markets",1,1
"weather",1,1
"rains",1,1
"counties",1,1
"null",1,1
"sweeter",2,2
"life's",4,4
"bundle",1,1
"steep",1,1
"discouragement",1,1
"withhold",2,2
"step",4,4
"older",1,1
"hope",9,9
"prompted",1,1
"spotless",1,1
"proposed",1,1
"accepted",1,1
"homelessness",1,1
"maelstrom",2,2
"laps",1,1
"navies",1,1
"vulture",1,1
"forces",6,5
"broods",1,1
"lonely",2,2
"tiger",2,2
"eased",2,2
"fasts",1,1
"dainty",1,1
"adorned",1,1
"tissues",1,1
"partakes—his",1,1
"cooled",1,1
"morsel",1,1
"fiercer",1,1
"dates",1,1
"cocoa",1,1
"nutrition",2,2
"mean—",1,1
"famine",2,2
"deem",3,3
"supper",1,1
"torrid",1,1
"lonelier",1,1
"seen—",1,1
"expiation",1,1
"omen",2,2
"bone",5,5
"tremendous",2,2
"nearness—",1,1
"probed",2,2
"borrow",1,1
"haggard",1,1
"springs",1,1
"belief",6,5
"somewhere",4,4
"creature",4,4
"plucked",2,2
"partition",2,2
"pry",2,2
"horror’s",1,1
"twin",1,1
"opposing",2,2
"cells",1,1
"strove",4,3
"clasp",2,2
"luxury",4,4
"pitied",1,1
"riches",2,2
"numbered",1,1
"preceding",1,1
"earn",6,6
"perceiveless",2,2
"sold",2,2
"store",2,2
"“didst",1,1
"thou?”",1,1
"“thou",2,2
"didst",1,1
"mean,”",1,1
"prohibit",1,1
"minutest",1,1
"dower",6,6
"unfrequented",1,1
"deserving",1,1
"embarrasses",1,1
"infamy",5,5
"meed",1,1
"scanty",2,2
"toy",1,1
"bought",1,1
"immortality",12,10
"chiefly",3,3
"conceit",2,2
"purchasing",1,1
"griefs",1,1
"they’d",1,1
"awayl",1,1
"joys",2,2
"happens",1,1
"drunkard",1,1
"cork",1,1
"encountering",1,1
"january",1,1
"jamaicas",1,1
"remembrance",3,2
"reeling",1,1
"in—",1,1
"moderate",1,1
"drinker",1,1
"deserve",1,1
"juleps",1,1
"jug",2,2
"connoisseur",1,1
"liquors",2,2
"consults",1,1
"equally",7,6
"stated",3,3
"wed",2,2
"vision",4,4
"lifetime",2,2
"wearied",1,1
"overtaken",1,1
"carrying",1,1
"sign",1,1
"futures",1,1
"cottage",2,2
"faced",1,1
"oceans",1,1
"led",4,4
"crowned",1,1
"showing",1,1
"illegitimate—",1,1
"smile’s",2,2
"bestowing",1,1
"importunate",1,1
"guinea",2,2
"robin’s",2,2
"larder",1,1
"stow",1,1
"196",1,1
"precious",3,2
"fashion",2,2
"dared",1,1
"tress",1,1
"buttercup's",1,1
"array",2,2
"obscures",1,1
"appeased",2,2
"numbers",1,1
"empery",1,1
"remembered",8,8
"milliner's",1,1
"everlasting",6,6
"confronts",1,1
"dazzled",1,1
"golden",5,4
"diving",1,1
"string",1,1
"necklace",1,1
"tiaras",1,1
"hem",2,2
"loop",2,2
"countess",1,1
"diadem",3,3
"mend",2,2
"hoard",1,1
"doubt",9,9
"court",2,2
"ornament",2,2
"women",2,2
"breathe",4,4
"meek",2,2
"impeach",1,1
"wealth",3,3
"wonderful",2,2
"banish",3,3
"wastes",1,1
"incredulous",2,2
"aught",2,2
"blank—and",1,1
"wilderness",6,5
"night—",1,1
"misery",5,5
"compact",1,1
"hopeless",1,1
"absolved",1,1
"other—therefore",1,1
"reign",1,1
"pinions",2,2
"traverse",1,1
"broader",1,1
"forests",3,3
"gayer",1,1
"boughs",1,1
"modern",1,1
"god's",1,1
"old-fashioned",2,2
"vows",1,1
"birdling",1,1
"bosom",3,3
"story",3,3
"coffin",2,2
"instead",3,3
"longer",2,2
"stronger",1,1
"fault",1,1
"lip",6,5
"liar",1,1
"remember",3,3
"sad",1,1
"adversity",2,2
"recollecting",2,2
"making",2,2
"difficult",3,3
"her—",2,2
"remoteness",1,1
"traveled",1,1
"alien",2,2
"adjoining",2,2
"foreign",5,5
"race",3,3
"traversed",1,1
"pausing",3,3
"latitudeless",1,1
"elements",1,1
"unaltered",1,1
"love’s",2,2
"transmigration—",1,1
"somehow",1,1
"henceforth",1,1
"paid",2,2
"penury",2,2
"toils",1,1
"freedom",1,1
"family",1,1
"restitution",1,1
"idolatry",2,2
"mile",1,1
"equator",1,1
"whoever",1,1
"disenchants",1,1
"failure",1,1
"irreverence",1,1
"guilty",2,2
"graphic",1,1
"caviler",1,1
"insinuates",1,1
"fullest",1,1
"expends",1,1
"owns",1,1
"worth",3,3
