edition_name,chapter,variance_from_sentence_consensus__by_chapter,variance_from_word_consensus__by_chapter
2011-05-03-HuckFinn.json,38,0.0,-0.013848396501457727
2011-05-03-HuckFinn.json,39,0.015873015873015872,-0.00676818950930626
2011-05-03-HuckFinn.json,40,0.0,-0.011182108626198083
2011-05-03-HuckFinn.json,41,0.0,-0.03139013452914798
2011-05-03-HuckFinn.json,42,0.0,-0.03017832647462277
2011-05-03-HuckFinn.json,43,0.0,-0.020754716981132074
2016-08-17-HuckFinn.json,1,0.0,-0.013953488372093023
2016-08-17-HuckFinn.json,2,0.0,-0.02040816326530612
2016-08-17-HuckFinn.json,3,0.0,-0.008547008547008548
2016-08-17-HuckFinn.json,4,0.0,-0.01888888888888889
2016-08-17-HuckFinn.json,5,0.0,-0.0455531453362256
2016-08-17-HuckFinn.json,6,0.0,-0.042263610315186245
2016-08-17-HuckFinn.json,7,0.0,-0.02112676056338028
2016-08-17-HuckFinn.json,8,0.0,-0.024665981500513873
2016-08-17-HuckFinn.json,9,0.0,-0.017408123791102514
2016-08-17-HuckFinn.json,10,0.0,0.0
2016-08-17-HuckFinn.json,11,0.0,-0.016715116279069766
2016-08-17-HuckFinn.json,12,0.0,-0.024081115335868188
2016-08-17-HuckFinn.json,13,0.0,-0.019469026548672566
2016-08-17-HuckFinn.json,14,0.022222222222222223,-0.03070175438596491
2016-08-17-HuckFinn.json,15,0.0,-0.0352
2016-08-17-HuckFinn.json,16,0.0,-0.040625
2016-08-17-HuckFinn.json,17,0.0,-0.025240384615384616
2016-08-17-HuckFinn.json,18,0.0,-0.048355899419729204
2016-08-17-HuckFinn.json,19,0.0,-0.048723897911832945
2016-08-17-HuckFinn.json,20,0.0,-0.03248136315228967
2016-08-17-HuckFinn.json,21,0.0,-0.01984511132623427
2016-08-17-HuckFinn.json,22,0.0,-0.08003300330033003
2016-08-17-HuckFinn.json,23,0.0,-0.01327433628318584
2016-08-17-HuckFinn.json,24,0.0,-0.022556390977443608
2016-08-17-HuckFinn.json,25,0.0,-0.013689700130378096
2016-08-17-HuckFinn.json,26,0.0,-0.022354694485842028
2016-08-17-HuckFinn.json,27,0.0,-0.02014388489208633
2016-08-17-HuckFinn.json,28,0.0,-0.04742547425474255
2016-08-17-HuckFinn.json,29,0.0,-0.02699530516431925
2016-08-17-HuckFinn.json,30,0.0,-0.020618556701030927
2016-08-17-HuckFinn.json,31,0.0,-0.022727272727272728
2016-08-17-HuckFinn.json,32,0.0,-0.018633540372670808
2016-08-17-HuckFinn.json,33,0.0,-0.020771513353115726
2016-08-17-HuckFinn.json,34,0.0,-0.011092150170648464
2016-08-17-HuckFinn.json,35,0.0,-0.01889763779527559
2016-08-17-HuckFinn.json,36,0.0,-0.011904761904761904
2016-08-17-HuckFinn.json,37,0.0,-0.013728323699421965
2016-08-17-HuckFinn.json,38,0.0,-0.013848396501457727
2016-08-17-HuckFinn.json,39,0.0,-0.006779661016949152
2016-08-17-HuckFinn.json,40,0.0,-0.0112
2016-08-17-HuckFinn.json,41,0.0,-0.03293413173652695
2016-08-17-HuckFinn.json,42,0.0,-0.032413793103448274
2016-08-17-HuckFinn.json,43,0.0,-0.020754716981132074
2021-02-21-HuckFinn.json,1,0.0,-0.013953488372093023
2021-02-21-HuckFinn.json,2,0.0,-0.02040816326530612
2021-02-21-HuckFinn.json,3,0.0,-0.008547008547008548
2021-02-21-HuckFinn.json,4,0.0,-0.01888888888888889
2021-02-21-HuckFinn.json,5,0.0,-0.0455531453362256
2021-02-21-HuckFinn.json,6,0.0,-0.042263610315186245
2021-02-21-HuckFinn.json,7,0.0,-0.02112676056338028
2021-02-21-HuckFinn.json,8,0.0,-0.024665981500513873
2021-02-21-HuckFinn.json,9,0.0,-0.017408123791102514
2021-02-21-HuckFinn.json,10,0.0,0.0
2021-02-21-HuckFinn.json,11,0.0,-0.016715116279069766
2021-02-21-HuckFinn.json,12,0.0,-0.024081115335868188
2021-02-21-HuckFinn.json,13,0.0,-0.019469026548672566
2021-02-21-HuckFinn.json,14,0.0,-0.03070175438596491
2021-02-21-HuckFinn.json,15,0.0,-0.0352
2021-02-21-HuckFinn.json,16,0.0,-0.040625
2021-02-21-HuckFinn.json,17,0.0,-0.025240384615384616
2021-02-21-HuckFinn.json,18,0.0,-0.048355899419729204
2021-02-21-HuckFinn.json,19,0.0,-0.048723897911832945
2021-02-21-HuckFinn.json,20,0.0,-0.03248136315228967
2021-02-21-HuckFinn.json,21,0.0,-0.01984511132623427
2021-02-21-HuckFinn.json,22,0.0,-0.01661392405063291
2021-02-21-HuckFinn.json,23,0.015625,-0.01327433628318584
2021-02-21-HuckFinn.json,24,0.0,-0.022556390977443608
2021-02-21-HuckFinn.json,25,0.0,-0.013689700130378096
2021-02-21-HuckFinn.json,26,0.0,-0.022354694485842028
2021-02-21-HuckFinn.json,27,0.0,-0.02014388489208633
2021-02-21-HuckFinn.json,28,0.0,-0.04742547425474255
2021-02-21-HuckFinn.json,29,0.0,-0.02699530516431925
2021-02-21-HuckFinn.json,30,0.0,-0.020618556701030927
2021-02-21-HuckFinn.json,31,0.0,-0.022727272727272728
2021-02-21-HuckFinn.json,32,0.0,-0.018633540372670808
2021-02-21-HuckFinn.json,33,0.0,-0.020771513353115726
2021-02-21-HuckFinn.json,34,0.0,-0.011092150170648464
2021-02-21-HuckFinn.json,35,0.013888888888888888,-0.01889763779527559
2021-02-21-HuckFinn.json,36,0.0,-0.011904761904761904
2021-02-21-HuckFinn.json,37,0.0,-0.013728323699421965
2021-02-21-HuckFinn.json,38,0.0,-0.016763848396501458
2021-02-21-HuckFinn.json,39,0.0,-0.006779661016949152
2021-02-21-HuckFinn.json,40,0.0,-0.0112
2021-02-21-HuckFinn.json,41,0.0,-0.03293413173652695
2021-02-21-HuckFinn.json,42,0.0,-0.032413793103448274
2021-02-21-HuckFinn.json,43,0.0,-0.020754716981132074
adventureshuckle00twaiiala-HuckFinn.json,1,0.0,0.04225352112676056
adventureshuckle00twaiiala-HuckFinn.json,2,0.0,0.05546875
adventureshuckle00twaiiala-HuckFinn.json,3,0.0,0.027114967462039046
adventureshuckle00twaiiala-HuckFinn.json,4,0.0,-0.0033333333333333335
adventureshuckle00twaiiala-HuckFinn.json,5,-0.02702702702702703,0.07667386609071274
adventureshuckle00twaiiala-HuckFinn.json,6,0.0,0.0007102272727272727
adventureshuckle00twaiiala-HuckFinn.json,7,0.0,0.03937007874015748
adventureshuckle00twaiiala-HuckFinn.json,8,0.0,0.028916929547844375
adventureshuckle00twaiiala-HuckFinn.json,9,0.0,0.040152963671128104
adventureshuckle00twaiiala-HuckFinn.json,10,0.0,0.04708520179372197
adventureshuckle00twaiiala-HuckFinn.json,11,0.0,0.10444444444444445
adventureshuckle00twaiiala-HuckFinn.json,12,0.0,0.09009009009009009
adventureshuckle00twaiiala-HuckFinn.json,13,0.0,0.04092526690391459
adventureshuckle00twaiiala-HuckFinn.json,14,0.02857142857142857,0.07362637362637363
adventureshuckle00twaiiala-HuckFinn.json,15,0.0,0.12153344208809136
